id,member_id,loan_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,addr_state,dti,delinq_2yrs,inq_last_6mths,pub_rec,revol_bal,revol_util,total_acc,bad_loan
1069559,1304634,6000, 36 months,11.71,198.46,1,RENT,76000,not verified,CA,2.4,0,1,0,5963,29.7,7,1
1069697,1273773,15000, 36 months,9.91,483.38,2,MORTGAGE,92000,VERIFIED - income,IL,29.44,0,0,0,13707,93.9,31,0
1069800,1304679,15000, 36 months,14.27,514.64,9,RENT,60000,not verified,NY,15.22,0,1,0,5872,57.6,11,1
1069657,1304764,5000, 60 months,16.77,123.65,2,RENT,50004,not verified,PA,13.97,3,0,0,4345,59.5,22,1
1069799,1304678,4000, 36 months,11.71,132.31,10,MORTGAGE,106000,not verified,FL,5.63,1,0,0,6110,37.7,44,0
1047704,1278806,8500, 36 months,11.71,281.15,0,RENT,25000,verified,MN,12.19,0,0,0,6441,59.1,12,0
1032111,1261745,4375, 36 months,7.51,136.11,7,MORTGAGE,17108,verified,NY,20.34,0,0,0,11210,86.9,12,0
1069539,1304608,31825, 36 months,7.9,995.82,5,MORTGAGE,75000,VERIFIED - income,NJ,14.03,0,0,0,23151,27.4,26,0
1069591,1304289,5000, 36 months,8.9,158.77,2,RENT,24044,VERIFIED - income,OR,11.93,0,0,0,2224,29.3,16,0
1069530,1291365,7000, 36 months,15.96,245.97,7,RENT,34000,verified,CA,6.35,0,1,0,6113,60.5,6,0
1069522,1304589,12400, 36 months,10.65,403.91,10,RENT,41000,not verified,KY,11.8,0,2,0,11095,57.2,12,0
1069361,1304255,10800, 36 months,9.91,348.03,2,RENT,55596,verified,CA,5.5,0,0,0,2535,13.3,18,0
1069357,1304251,15000, 36 months,7.9,469.36,1,RENT,45000,VERIFIED - income,OH,8.48,0,0,0,6704,50.4,27,0
1069356,1304250,6000, 36 months,12.42,200.5,1,RENT,36852,verified,AZ,10.62,0,1,0,7310,66.5,12,0
1067573,1301955,9600, 36 months,7.51,298.67,4,RENT,68004,verified,SC,6.63,0,0,0,2896,18.1,11,0
1069506,1304567,12000, 36 months,7.9,375.49,10,RENT,62300,not verified,NJ,16.7,0,0,0,8601,21,25,0
1069314,1304202,3000, 36 months,18.25,108.84,9,MORTGAGE,65000,not verified,PA,17.39,0,0,0,43936,98.1,22,0
1060578,1292332,4400, 36 months,16.77,156.37,10,RENT,55000,not verified,RI,20.01,0,0,0,25237,99,11,0
1069469,1304526,6000, 36 months,6.03,182.62,10,MORTGAGE,45600,not verified,LA,5.34,0,1,0,3378,32.5,28,0
1051117,1282787,14000, 36 months,9.91,451.15,6,RENT,80000,not verified,MA,10,0,1,0,2219,13.4,40,0
1069465,1304521,5000, 36 months,8.9,158.77,10,MORTGAGE,100000,verified,OH,16.33,0,0,0,74351,62.1,35,1
1069283,1304166,10000, 36 months,10.65,325.74,6,RENT,27000,VERIFIED - income,NY,11.47,0,0,0,7814,52.3,10,0
1069287,1304171,10000, 36 months,6.03,304.36,10,RENT,60000,not verified,CT,12.74,0,1,0,14019,19.5,18,0
1069453,1303701,11000, 36 months,6.62,337.75,5,RENT,70000,not verified,CT,10.85,0,0,0,11638,36.4,7,0
1069248,1304123,15000, 36 months,9.91,483.38,8,MORTGAGE,80000,not verified,IL,9.12,0,2,0,11845,63.7,28,1
1068120,1302485,25600, 36 months,9.91,824.96,9,RENT,110000,VERIFIED - income,CA,15.71,0,0,0,26088,62,27,0
1069244,1304117,7000, 36 months,10.65,228.02,0,RENT,40000,not verified,CA,7.38,0,0,0,12168,92.9,12,0
1069243,1304116,12000, 36 months,15.96,421.65,4,RENT,50000,not verified,CA,20.88,0,2,0,15793,90.8,11,1
1069238,1303909,12000, 36 months,9.91,386.7,1,RENT,46000,not verified,TX,8.11,0,1,0,12143,52.1,12,0
1069410,1303652,21000, 60 months,19.91,555.33,7,RENT,50000,VERIFIED - income,WA,21.58,0,1,0,19448,97.6,14,1
1068409,1302790,16000, 60 months,19.91,423.11,7,RENT,81000,VERIFIED - income,MA,20.52,0,3,0,27884,75.1,21,0
1068487,1302882,10000, 36 months,12.42,334.16,0,OWN,39000,not verified,OR,18.58,0,0,0,12874,72.7,10,0
1043961,1274517,10000, 36 months,10.65,325.74,2,RENT,51400,not verified,TX,19.14,0,3,0,10160,59.1,24,0
1068945,1287308,7100, 36 months,16.77,252.33,1,MORTGAGE,33000,VERIFIED - income,TX,24,0,2,0,6021,91.2,8,0
1069136,1278095,17675, 60 months,14.65,417.25,0,RENT,50000,verified,WI,16.46,0,2,0,6661,57.4,14,0
1068923,1303549,8000, 36 months,16.77,284.31,0,RENT,62000,not verified,VA,21.64,0,3,0,6088,66.9,20,0
1069126,1303778,10000, 60 months,10.65,215.69,10,RENT,45996,VERIFIED - income,OH,21.73,0,1,0,11170,30.1,15,1
1069102,1303750,3500, 36 months,10.65,114.01,7,MORTGAGE,55000,not verified,OH,5.39,0,1,0,6611,45.9,12,0
1069093,1303740,12500, 60 months,17.27,223.11,5,RENT,30000,verified,MN,13.16,0,0,1,9844,70.8,28,1
1069030,1303473,16425, 36 months,14.27,563.53,4,RENT,44544,verified,CA,22.71,0,1,0,15747,83.4,18,0
1068906,1303528,8200, 60 months,21.28,223.14,4,RENT,75000,verified,CA,12.48,0,3,0,9012,73.9,11,1
1069073,1303718,15000, 36 months,14.65,517.42,2,OWN,61000,VERIFIED - income,FL,11.88,0,1,0,19397,79.5,18,0
1069043,1303486,20975, 60 months,17.58,341.63,5,MORTGAGE,44000,VERIFIED - income,GA,18.79,0,0,1,20657,79.4,21,0
1060981,1292558,6400, 36 months,16.77,227.45,5,RENT,75000,not verified,CA,20.22,0,0,0,7159,67.5,27,1
1069071,1303716,3000, 36 months,13.49,101.8,1,RENT,33600,not verified,AL,18.11,0,0,0,2745,83.2,7,0
1069070,1299004,12000, 36 months,16.77,426.47,3,RENT,50000,not verified,MA,20.57,0,1,0,11443,97,19,0
1068893,1303514,14400, 36 months,8.9,457.25,0,OWN,150000,verified,NY,14.85,0,0,0,63864,55,38,0
1068882,1303303,12000, 36 months,14.65,413.94,10,RENT,90000,not verified,NJ,16.56,0,2,0,17116,78.5,36,0
1069039,1303482,11000, 36 months,13.49,373.24,10,MORTGAGE,48000,VERIFIED - income,TX,21.82,0,3,0,11382,65,29,0
1068416,1302799,7250, 60 months,21.67,197.51,0,RENT,75000,VERIFIED - income,CA,24.82,0,2,1,21706,91.2,19,0
1068997,1303437,15000, 36 months,7.9,469.36,1,MORTGAGE,52000,not verified,TX,9.65,0,1,0,1616,6.7,29,0
1048390,1279714,18000, 60 months,19.91,475.99,10,MORTGAGE,65000,not verified,FL,6.81,0,0,0,11745,77.8,40,0
1068994,1303432,35000, 60 months,17.27,551.84,3,MORTGAGE,150000,VERIFIED - income,NY,7.51,0,1,0,7334,53.3,31,0
1068475,1302869,10000, 36 months,14.27,343.09,2,RENT,68000,verified,PA,15.39,0,1,0,11303,81.3,15,0
1068989,1282013,11800, 36 months,12.69,395.83,6,RENT,42000,verified,NY,9.86,0,0,0,8940,74.8,13,0
1068967,1303403,4500, 36 months,6.03,136.96,4,RENT,53000,verified,CA,4.44,0,0,0,8630,13.9,17,0
1068744,1303379,7000, 36 months,12.69,234.82,10,RENT,35000,verified,CA,11.35,0,2,0,7649,82.3,26,0
1045509,1276120,9200, 36 months,12.42,307.43,2,RENT,60000,verified,CA,19.96,0,3,0,23299,78.7,19,0
1041756,1272024,4500, 60 months,10.65,97.06,0,MORTGAGE,42000,verified,TX,5.4,0,0,0,8220,78.3,9,0
1068694,1303326,12000, 36 months,16.29,423.61,9,RENT,88365,VERIFIED - income,AZ,16.85,0,0,0,22936,96.4,15,0
1068792,1303200,12000, 36 months,13.49,407.17,4,RENT,72000,verified,CA,21.33,0,1,0,3419,27.6,19,0
1068558,1303163,12000, 36 months,10.65,390.88,0,RENT,62000,VERIFIED - income,TX,23.94,0,0,0,20310,78.4,51,0
1068322,1302938,7000, 36 months,10.65,228.02,3,MORTGAGE,43680,not verified,MN,5.38,0,0,0,6245,78.1,11,0
1065674,1299785,8200, 60 months,19.42,214.62,3,RENT,120000,verified,NY,2.8,0,2,0,10392,88.4,6,0
1068547,1303150,10500, 36 months,12.69,352.23,10,RENT,66000,VERIFIED - income,CA,20.73,1,2,0,5790,51.2,26,0
1068545,1303147,7000, 36 months,11.71,231.54,4,OWN,39120,not verified,FL,21.01,0,0,1,9414,52.4,26,0
1049528,1280928,20000, 60 months,11.71,282.86,4,MORTGAGE,47800,VERIFIED - income,VA,10.04,0,0,0,16447,46.3,27,0
1068542,1303143,17500, 60 months,17.27,437.47,7,MORTGAGE,45000,not verified,WA,21.31,0,2,0,20129,86.1,26,1
1068350,1302971,3500, 36 months,6.03,106.53,10,MORTGAGE,83000,VERIFIED - income,IL,2.31,0,0,0,3092,13.4,28,0
1068509,1302907,6200, 36 months,9.91,199.8,2,RENT,25000,not verified,CA,20.64,0,2,0,6533,47.7,12,1
1068508,1302906,6000, 36 months,8.9,190.52,8,OWN,28800,not verified,NJ,13.17,0,0,0,5269,36.8,13,0
1066641,1300833,7200, 36 months,9.91,232.02,6,RENT,135000,not verified,NY,6.12,0,0,0,16627,79.6,18,0
1068315,1302930,9500, 36 months,8.9,301.66,7,MORTGAGE,50000,not verified,TX,8.18,0,0,0,13422,60.5,13,0
1068309,1302924,18825, 60 months,16.77,465.53,10,RENT,38000,VERIFIED - income,TX,23.18,0,0,0,11004,79.7,7,1
1068326,1302942,24000, 36 months,10.65,781.76,10,RENT,45000,VERIFIED - income,CA,14.8,0,0,0,24708,55.2,9,0
1066767,1300950,6000, 36 months,13.49,203.59,10,RENT,80000,not verified,CA,11.58,0,0,0,15499,83.8,16,0
1068484,1302879,6000, 36 months,13.49,203.59,5,RENT,50000,not verified,AZ,15.38,0,1,0,15191,91.5,7,0
1068292,1302706,2100, 36 months,12.42,70.18,10,MORTGAGE,30000,not verified,LA,19.72,0,1,0,12183,82.9,26,0
1068273,1302680,5500, 36 months,6.62,168.88,8,MORTGAGE,110000,VERIFIED - income,CT,9.69,0,0,0,14136,21.9,26,0
1068274,1302681,11000, 36 months,6.62,337.75,8,OWN,45608,verified,LA,20.5,0,0,0,10677,58.7,11,0
1068440,1302831,26800, 60 months,20.89,723.38,3,MORTGAGE,120000,VERIFIED - income,FL,12.15,0,0,0,14772,48,18,0
1046456,1277297,8000, 36 months,12.69,268.36,5,MORTGAGE,35000,not verified,IL,10.05,0,0,0,6842,97.7,18,0
1068012,1302365,10000, 36 months,18.25,362.78,1,RENT,75000,verified,CA,24.14,0,0,0,22828,96.3,26,1
1055725,1287293,8000, 36 months,11.71,264.61,9,MORTGAGE,35000,VERIFIED - income,NV,9.7,0,0,0,6142,46.5,8,0
1061814,1293438,10000, 36 months,8.9,317.54,6,RENT,24000,VERIFIED - income,CA,7,0,0,0,6734,49.5,21,0
1068232,1302622,12000, 36 months,11.71,396.92,2,MORTGAGE,126000,not verified,OH,13.32,0,0,0,32711,54.1,38,0
1068405,1302785,10000, 36 months,7.9,312.91,1,RENT,43000,not verified,CA,25.26,0,0,0,8215,37.2,16,0
1068395,1302773,12000, 36 months,9.91,386.7,1,RENT,50000,not verified,CA,16.44,0,1,0,14335,29.3,25,0
1068006,1302360,19750, 36 months,10.65,643.33,4,RENT,45000,VERIFIED - income,OR,22.8,0,0,0,16576,54.2,28,1
1068075,1302430,10000, 36 months,9.91,322.25,3,RENT,31200,verified,NY,14.81,0,0,0,5540,27,19,0
1065642,1299748,13650, 36 months,12.42,456.12,4,RENT,66000,VERIFIED - income,NV,24.09,0,0,0,8933,56.5,34,0
1068179,1302564,28000, 60 months,19.91,312.04,10,RENT,52000,VERIFIED - income,TX,20.7,0,0,0,29178,87.6,16,1
1068158,1302728,18000, 36 months,7.9,563.23,10,RENT,56964,verified,CA,27.55,0,0,0,17381,76.6,20,0
1068180,1302565,2500, 36 months,14.27,85.78,7,RENT,49500,verified,FL,10.33,0,1,0,9868,37.7,20,0
1065673,1299784,21000, 60 months,20.3,559.89,10,RENT,70000,VERIFIED - income,CO,23.21,0,2,0,12508,70.7,25,0
1068159,1302729,35000, 36 months,8.9,1111.37,6,MORTGAGE,125000,VERIFIED - income,CA,22.71,0,0,0,9051,34.8,32,0
1068165,1302549,10000, 36 months,7.51,311.11,3,RENT,33000,not verified,NJ,9.75,0,1,0,68,0.6,19,0
1059689,1291305,7000, 36 months,12.69,234.82,0,RENT,30000,verified,VA,15.8,0,2,0,15455,47.6,11,0
1066215,1300572,24000, 36 months,15.96,843.3,8,MORTGAGE,90000,verified,CA,9.17,0,1,0,30952,71.2,23,1
1063270,1295780,10625, 36 months,7.51,330.56,5,MORTGAGE,23000,not verified,OR,18.89,0,1,0,7114,43.4,21,0
1067931,1302311,5000, 36 months,14.65,172.48,2,RENT,24000,verified,PA,18.3,0,2,0,2429,33.3,9,0
1067922,1302299,8850, 36 months,6.62,271.73,10,RENT,62000,verified,MD,17.71,0,0,0,9466,35.9,19,0
1067919,1302295,6375, 36 months,7.51,198.34,4,RENT,44000,verified,GA,4.8,0,0,0,6324,58,11,0
1068106,1302467,6000, 36 months,11.71,198.46,1,RENT,90000,not verified,NJ,2.97,1,0,0,8489,56.6,23,0
1068111,1302472,11100, 36 months,6.62,340.82,10,RENT,41000,VERIFIED - income,PA,29.85,0,1,0,17518,62.3,18,1
1067655,1302044,10000, 60 months,12.69,225.95,2,MORTGAGE,56000,verified,CA,10.82,0,1,0,10081,31.2,18,0
1060662,1292431,6200, 36 months,6.03,188.71,5,MORTGAGE,26500,not verified,WV,18.2,0,0,0,2982,16,18,0
1061304,1293317,15000, 36 months,18.64,547.12,1,RENT,54000,not verified,GA,19.69,0,2,0,15183,90.3,12,0
1068095,1302453,4200, 36 months,11.71,138.92,2,RENT,53000,not verified,MD,16.91,0,0,0,8336,79.7,22,0
1067182,1301537,14000, 36 months,14.27,480.33,4,RENT,52800,not verified,CA,7.36,0,1,0,13378,70.8,14,0
822464,1030901,8875, 36 months,7.51,276.11,1,MORTGAGE,38000,not verified,GA,23.53,0,1,0,19056,62.1,27,0
1063526,1296092,13500, 36 months,9.91,435.04,7,RENT,38000,VERIFIED - income,CA,12.38,0,1,0,16023,67.3,7,0
1068091,1302450,12000, 36 months,9.91,386.7,2,RENT,42000,not verified,MN,7.83,0,2,0,9749,65.4,16,1
1068090,1302449,16000, 60 months,19.91,423.11,4,RENT,55000,VERIFIED - income,WA,15.8,0,0,0,7743,72.4,19,0
1068082,1270159,21600, 60 months,19.42,565.32,8,MORTGAGE,60000,verified,GA,16.74,1,0,0,13354,78.1,21,0
1068078,1302434,6000, 36 months,10.65,195.44,6,MORTGAGE,87000,not verified,NJ,12.86,2,0,0,11739,40.5,22,0
1046204,1276836,20000, 60 months,13.49,460.1,1,RENT,82000,not verified,OH,17.68,0,0,0,26693,61.4,23,0
1067794,1302151,10000, 36 months,11.71,330.76,8,RENT,60000,not verified,CA,22.08,0,0,0,5626,29.3,26,1
1067816,1302174,12000, 36 months,16.29,423.61,5,MORTGAGE,80000,VERIFIED - income,GA,18.18,0,0,0,29609,97.2,11,0
1068018,1302371,13475, 60 months,13.49,309.99,10,RENT,25000,VERIFIED - income,CA,21.89,0,1,0,9943,65.8,14,1
1052996,1284571,7200, 36 months,12.42,240.59,5,RENT,48000,not verified,IL,17.43,0,1,0,16450,80.2,10,0
1067818,1247741,5600, 36 months,14.65,193.17,1,MORTGAGE,85000,not verified,AZ,12.24,1,3,0,6812,90.8,31,1
1064842,1298688,12000, 36 months,14.27,411.71,0,RENT,57000,VERIFIED - income,CA,10.86,0,1,0,9273,81.5,11,0
1067109,1301487,8500, 36 months,6.03,258.71,2,RENT,25000,not verified,MD,1.73,0,0,0,2463,28,18,0
1067971,1302322,8000, 36 months,9.91,257.8,2,RENT,34000,verified,PA,18.28,0,0,0,7434,78.5,7,0
1057518,1289083,8000, 36 months,12.42,267.33,10,RENT,40000,not verified,OR,15,0,0,0,18601,88.2,11,0
1062177,1294027,15000, 36 months,17.27,536.81,2,MORTGAGE,44400,verified,FL,3.59,1,0,1,4582,91.6,16,0
1067447,1301839,10000, 36 months,9.91,322.25,2,OWN,30000,not verified,VT,11.24,0,1,0,9152,66.8,30,0
1059412,1291030,10000, 36 months,6.62,307.04,5,MORTGAGE,70000,not verified,NY,16.78,0,0,0,10770,69,18,0
1062608,1294481,8000, 36 months,14.65,275.96,3,RENT,28000,not verified,CA,12.6,0,1,0,6187,54.3,11,0
1067664,1302055,22000, 36 months,9.91,708.95,2,MORTGAGE,50000,VERIFIED - income,MI,13.22,0,4,0,21470,49.8,32,0
1067441,1301833,6000, 36 months,14.27,205.86,10,MORTGAGE,94800,VERIFIED - income,TX,24.53,0,1,0,71890,95.9,30,0
1067644,1302032,2500, 36 months,7.51,77.78,,OWN,12000,verified,CA,16.3,0,2,0,4853,42.2,20,1
1062288,1294350,13500, 36 months,9.91,435.04,2,MORTGAGE,36000,verified,DC,22.93,0,1,0,25011,67.2,15,0
1067434,1301822,25000, 36 months,12.42,835.39,2,RENT,225000,VERIFIED - income,NJ,8.32,1,0,0,30449,34.6,23,0
1067419,1301804,10000, 36 months,13.49,339.31,2,RENT,45900,VERIFIED - income,CA,24.97,0,2,0,8936,48.3,12,0
1067601,1301984,2500, 36 months,13.49,84.83,4,RENT,27200,not verified,WA,6.44,0,0,0,3473,68.1,6,0
1067579,1301961,7325, 36 months,12.69,245.72,1,RENT,42000,not verified,FL,22.57,0,3,0,7281,65,29,0
1067563,1301944,4000, 36 months,12.42,133.67,5,RENT,135000,VERIFIED - income,NY,12.12,0,3,0,29311,85.7,21,0
1067364,1301744,10000, 36 months,13.49,339.31,5,RENT,65000,not verified,CA,6.92,1,2,0,14292,69.5,17,1
1067152,1301933,7750, 36 months,17.27,277.36,0,RENT,24000,not verified,IL,16.1,0,1,0,2348,67.1,7,1
1062471,1294536,20000, 60 months,20.89,539.84,6,RENT,70000,verified,FL,16.63,0,1,0,10470,79.9,24,1
1066842,1301036,9600, 36 months,12.42,320.79,10,RENT,65000,VERIFIED - income,NY,11.65,0,0,0,11279,70.9,11,0
1067126,1301506,21000, 60 months,11.71,464.07,3,RENT,60000,not verified,CA,6.62,0,0,0,10543,79.9,11,1
1067326,1301703,14000, 36 months,10.65,456.03,3,RENT,30000,verified,CT,15.52,0,0,0,15542,65.6,14,0
1066789,1300973,13350, 36 months,12.42,446.1,10,RENT,43000,not verified,CA,20.57,0,0,0,11531,95.3,15,0
1067324,1301699,15000, 36 months,16.77,533.08,10,RENT,42000,VERIFIED - income,WI,19.63,0,2,0,8238,74.9,38,1
1067102,1301481,15000, 36 months,17.27,536.81,8,RENT,75000,verified,CA,16.03,0,0,0,13505,75.9,17,1
1067084,1301459,35000, 36 months,10.65,1140.07,2,MORTGAGE,168000,VERIFIED - income,TX,3.17,1,1,0,1099,1.4,22,0
1067090,1301465,9000, 36 months,10.65,293.16,9,MORTGAGE,74000,verified,SD,8.89,0,0,0,7388,71.7,10,0
1067265,1301632,16000, 36 months,12.69,536.72,1,RENT,58500,verified,IL,20.64,0,0,0,26224,89.3,10,1
1067287,1301658,13500, 36 months,12.69,452.86,5,RENT,71000,verified,VA,11.97,0,2,0,6681,77.7,11,0
1067066,1301436,24000, 36 months,12.69,805.08,10,RENT,75000,VERIFIED - income,WA,11.6,0,0,0,21609,84.6,33,0
1067283,1301654,12000, 36 months,10.65,390.88,5,RENT,60000,not verified,CA,10.84,0,1,0,11849,48.8,18,0
1066635,1300826,28000, 60 months,17.58,704.64,5,MORTGAGE,140000,VERIFIED - income,NC,12.07,0,1,0,2686,13.4,24,0
1067026,1301392,14000, 36 months,6.62,429.86,10,RENT,66000,verified,VA,11.15,0,1,0,12095,35.4,46,0
1067038,1301405,12000, 36 months,14.27,411.71,8,MORTGAGE,70000,not verified,NY,8.4,0,1,0,11546,86.2,12,1
1067030,1301397,25000, 36 months,11.71,826.9,10,MORTGAGE,100000,VERIFIED - income,RI,6.88,0,1,0,21128,89.1,18,0
1065350,1299445,9000, 36 months,12.69,301.91,5,RENT,50000,verified,NY,17.81,0,1,0,12752,55.4,21,0
1067028,1301395,13250, 36 months,10.65,431.6,4,RENT,35000,not verified,OH,24.93,0,2,0,13392,58.7,25,0
1061877,1293509,20000, 36 months,13.49,678.61,6,RENT,75000,VERIFIED - income,CA,22.38,0,1,0,19548,90.8,17,0
1067018,1301384,3000, 36 months,14.65,103.49,5,RENT,71000,VERIFIED - income,WI,21.84,0,1,0,15072,88.7,14,0
1067223,1301585,7350, 36 months,10.65,239.42,10,MORTGAGE,48000,not verified,AR,11.93,0,0,0,15587,77.5,5,0
1067004,1301365,11500, 36 months,15.27,400.18,5,RENT,36000,not verified,FL,21.1,0,1,0,8969,76.7,14,0
1031265,1260676,13650, 36 months,12.42,456.12,10,MORTGAGE,86000,not verified,CA,12.29,0,1,0,16140,73.4,34,1
1066835,1301027,10500, 36 months,16.29,370.66,3,RENT,30000,verified,CA,15,0,1,0,5379,55.5,8,1
1067181,1301536,12000, 36 months,9.91,386.7,2,RENT,60000,not verified,CA,15.5,0,0,0,12168,85.7,21,0
1067179,1301534,6000, 36 months,8.9,190.52,3,RENT,34000,not verified,OH,14.51,0,2,0,13683,64.8,16,0
1067172,1301527,11500, 36 months,15.27,400.18,10,MORTGAGE,44200,VERIFIED - income,CA,21.69,0,1,0,13147,90,11,0
1066712,1301115,7000, 36 months,12.42,233.91,7,MORTGAGE,82000,not verified,MD,12,0,1,0,25334,71.6,31,0
1066836,1301028,2000, 36 months,15.27,69.6,2,RENT,41000,VERIFIED - income,TX,17.74,0,1,0,18115,96.4,11,0
1066826,1301015,11625, 36 months,13.49,394.45,0,MORTGAGE,36000,verified,KS,19.33,0,1,0,19979,84.7,31,0
1063280,1295793,15075, 36 months,14.27,517.21,10,RENT,35000,VERIFIED - income,TX,20.16,0,1,0,10570,89.6,14,1
1057447,1289006,5300, 36 months,15.27,184.43,1,RENT,30000,VERIFIED - income,CT,24.88,0,2,0,7855,82.7,13,0
1040867,1270873,8200, 36 months,6.62,251.77,0,RENT,40000,verified,PA,11.1,0,1,0,2573,25.5,11,0
1065232,1299103,12000, 36 months,12.42,400.99,9,MORTGAGE,105000,not verified,TX,13.98,0,1,0,11243,75,25,0
1052492,1284024,8650, 36 months,14.27,296.78,4,MORTGAGE,45000,verified,FL,7.6,0,2,0,6602,58.9,23,0
1066763,1300945,12000, 36 months,12.42,400.99,2,RENT,83000,not verified,CA,11.81,0,2,0,16550,51.1,61,0
1066798,1300982,9500, 36 months,12.69,318.68,0,MORTGAGE,52500,verified,CA,23.54,0,2,0,23729,75.3,42,1
1066639,1300831,7400, 36 months,13.49,251.09,0,OWN,25000,verified,AZ,8.45,0,0,0,5199,92.8,13,0
1066633,1300823,14400, 36 months,13.49,488.6,10,MORTGAGE,60000,not verified,FL,16.92,0,1,0,23317,65,26,0
1060644,1292408,24250, 60 months,23.91,519.76,7,MORTGAGE,120000,VERIFIED - income,AZ,12.96,0,3,0,31992,99,20,0
1066766,1300949,7200, 36 months,7.9,225.29,3,RENT,68000,verified,GA,7.98,0,0,0,8783,82.9,14,1
1066613,1300801,26000, 60 months,16.77,642.96,10,MORTGAGE,53000,VERIFIED - income,NC,11.77,0,1,0,7560,72.7,14,1
1065648,1299754,7000, 60 months,11.71,154.69,6,MORTGAGE,69600,VERIFIED - income,WA,26.22,0,0,0,45449,90.9,23,1
1066768,1300951,4000, 36 months,7.51,124.45,0,RENT,65000,verified,CA,18.17,0,0,0,10032,50.7,24,0
1066617,1300806,1500, 36 months,17.27,53.69,10,MORTGAGE,144000,VERIFIED - income,CA,8.23,1,0,0,14186,97.8,14,0
1062015,1293857,19600, 36 months,12.42,654.94,2,RENT,75000,VERIFIED - income,NY,11.62,0,0,0,20355,50.1,12,0
1066598,1300783,2500, 36 months,11.71,82.69,7,MORTGAGE,29000,VERIFIED - income,AZ,18.7,0,0,0,2668,66.7,13,0
1066503,1300476,10000, 36 months,12.69,335.45,2,RENT,70000,not verified,CA,2.69,0,0,0,6035,70.2,6,1
1066530,1300506,10000, 36 months,6.62,307.04,5,RENT,45000,not verified,OH,26.85,0,0,0,10133,70.4,40,0
1066520,1300495,4225, 36 months,12.42,141.18,5,MORTGAGE,55200,not verified,WA,17.61,0,1,0,4055,73.7,12,0
1065929,1300072,3500, 36 months,7.9,109.52,7,MORTGAGE,61440,not verified,CA,6.46,1,0,0,15472,55.5,19,0
1066582,1300766,12000, 36 months,6.62,368.45,10,MORTGAGE,56000,not verified,FL,13.65,0,0,0,9873,80.3,21,0
1066348,1300722,16500, 36 months,8.9,523.93,0,RENT,47000,verified,IL,9.06,0,1,0,13917,38.8,24,0
1061430,1293224,22000, 60 months,21.67,603.5,0,RENT,55000,VERIFIED - income,WA,15.62,0,1,0,20154,79.4,27,0
1061519,1293522,12000, 36 months,14.65,413.94,1,RENT,71000,VERIFIED - income,KS,14.87,0,2,0,17972,71,38,0
